0	1
0.02	0.99958
0.04	0.998342
0.06	0.997913
0.08	1.00246
0.1	1.00944
0.12	1.0188
0.14	1.03053
0.16	1.04466
0.18	1.06125
0.2	1.08041
0.22	1.10228
0.24	1.12703
0.26	1.1549
0.28	1.18618
0.3	1.22122
0.32	1.26044
0.34	1.30436
0.36	1.35363
0.38	1.40903
0.4	1.47153
0.42	1.54234
0.44	1.62299
0.46	1.71542
0.48	1.82216
0.5	1.94652
0.52	2.09299
0.54	2.26768
0.56	2.47927
0.58	2.74042
0.6	3.07034
0.62	3.49974
0.64	4.08078
0.66	4.90995
0.68	6.18767
0.7	8.40994
0.72	13.2312
0.74	31.5926
0.76	nan
0.78	nan
0.8	nan
0.82	nan
0.84	nan
0.86	nan
0.88	nan
0.9	nan
0.92	nan
0.94	nan
0.96	nan
0.98	nan
1	nan
1.02	nan
1.04	nan
1.06	nan
1.08	nan
1.1	nan
1.12	nan
1.14	nan
1.16	nan
1.18	nan
1.2	nan
1.22	nan
1.24	nan
1.26	nan
1.28	nan
1.3	nan
1.32	nan
1.34	nan
1.36	nan
1.38	nan
1.4	nan
1.42	nan
1.44	nan
1.46	nan
1.48	nan
1.5	nan
1.52	nan
1.54	nan
1.56	nan
1.58	nan
1.6	nan
1.62	nan
1.64	nan
1.66	nan
1.68	nan
1.7	nan
1.72	nan
1.74	nan
1.76	nan
1.78	nan
1.8	nan
1.82	nan
1.84	nan
1.86	nan
1.88	nan
1.9	nan
1.92	nan
1.94	nan
1.96	nan
1.98	nan
2	nan
2.02	nan
2.04	nan
2.06	nan
2.08	nan
2.1	nan
2.12	nan
2.14	nan
2.16	nan
2.18	nan
2.2	nan
2.22	nan
2.24	nan
2.26	nan
2.28	nan
2.3	nan
2.32	nan
2.34	nan
2.36	nan
2.38	nan
2.4	nan
2.42	nan
2.44	nan
2.46	nan
2.48	nan
2.5	nan
2.52	nan
2.54	nan
2.56	nan
2.58	nan
2.6	nan
2.62	nan
2.64	nan
2.66	nan
2.68	nan
2.7	nan
2.72	nan
2.74	nan
2.76	nan
2.78	nan
2.8	nan
2.82	nan
2.84	nan
2.86	nan
2.88	nan
2.9	nan
2.92	nan
2.94	nan
2.96	nan
2.98	nan
3	nan
3.02	nan
3.04	nan
3.06	nan
3.08	nan
3.1	nan
3.12	nan
3.14	nan
3.16	nan
3.18	nan
3.2	nan
3.22	nan
3.24	nan
3.26	nan
3.28	nan
3.3	nan
3.32	nan
3.34	nan
3.36	nan
3.38	nan
3.4	nan
3.42	nan
3.44	nan
3.46	nan
3.48	nan
3.5	nan
3.52	nan
3.54	nan
3.56	nan
3.58	nan
3.6	nan
3.62	nan
3.64	nan
3.66	nan
3.68	nan
3.7	nan
3.72	nan
3.74	nan
3.76	nan
3.78	nan
3.8	nan
3.82	nan
3.84	nan
3.86	nan
3.88	nan
3.9	nan
3.92	nan
3.94	nan
3.96	nan
3.98	nan
4	nan
4.02	nan
4.04	nan
4.06	nan
4.08	nan
4.1	nan
4.12	nan
4.14	nan
4.16	nan
4.18	nan
4.2	nan
4.22	nan
4.24	nan
4.26	nan
4.28	nan
4.3	nan
4.32	nan
4.34	nan
4.36	nan
4.38	nan
4.4	nan
4.42	nan
4.44	nan
4.46	nan
4.48	nan
4.5	nan
4.52	nan
4.54	nan
4.56	nan
4.58	nan
4.6	nan
4.62	nan
4.64	nan
4.66	nan
4.68	nan
4.7	nan
4.72	nan
4.74	nan
4.76	nan
4.78	nan
4.8	nan
4.82	nan
4.84	nan
4.86	nan
4.88	nan
4.9	nan
4.92	nan
4.94	nan
4.96	nan
4.98	nan
5	nan
5.02	nan
0.02	0.99958
0.04	0.998342
0.06	0.997913
0.08	1.00246
0.1	1.00944
0.12	1.0188
0.14	1.03053
0.16	1.04466
0.18	1.06125
0.2	1.08041
0.22	1.10228
0.24	1.12703
0.26	1.1549
0.28	1.18618
0.3	1.22122
0.32	1.26044
0.34	1.30436
0.36	1.35363
0.38	1.40903
0.4	1.47153
0.42	1.54234
0.44	1.62299
0.46	1.71542
0.48	1.82216
0.5	1.94652
0.52	2.09299
0.54	2.26768
0.56	2.47927
0.58	2.74042
0.6	3.07034
0.62	3.49974
0.64	4.08078
0.66	4.90995
0.68	6.18767
0.7	8.40994
0.72	13.2312
0.74	31.5926
0.76	nan
0.78	nan
0.8	nan
0.82	nan
0.84	nan
0.86	nan
0.88	nan
0.9	nan
0.92	nan
0.94	nan
0.96	nan
0.98	nan
1	nan
1.02	nan
1.04	nan
1.06	nan
1.08	nan
1.1	nan
1.12	nan
1.14	nan
1.16	nan
1.18	nan
1.2	nan
1.22	nan
1.24	nan
1.26	nan
1.28	nan
1.3	nan
1.32	nan
1.34	nan
1.36	nan
1.38	nan
1.4	nan
1.42	nan
1.44	nan
1.46	nan
1.48	nan
1.5	nan
1.52	nan
1.54	nan
1.56	nan
1.58	nan
1.6	nan
1.62	nan
1.64	nan
1.66	nan
1.68	nan
1.7	nan
1.72	nan
1.74	nan
1.76	nan
1.78	nan
1.8	nan
1.82	nan
1.84	nan
1.86	nan
1.88	nan
1.9	nan
1.92	nan
1.94	nan
1.96	nan
1.98	nan
2	nan
2.02	nan
2.04	nan
2.06	nan
2.08	nan
2.1	nan
2.12	nan
2.14	nan
2.16	nan
2.18	nan
2.2	nan
2.22	nan
2.24	nan
2.26	nan
2.28	nan
2.3	nan
2.32	nan
2.34	nan
2.36	nan
2.38	nan
2.4	nan
2.42	nan
2.44	nan
2.46	nan
2.48	nan
2.5	nan
2.52	nan
2.54	nan
2.56	nan
2.58	nan
