0	0	0
0.02	0.00134163	0.00138368
0.04	0.00333833	0.00350431
0.06	0.0059491	0.00631863
0.08	0.00913496	0.00978526
0.1	0.0128588	0.0138646
0.12	0.0170855	0.0185189
0.14	0.0217815	0.0237118
0.16	0.0269151	0.0294089
0.18	0.032456	0.0355771
0.2	0.0383756	0.0421847
0.22	0.0446467	0.0492018
0.24	0.0512434	0.0565994
0.26	0.0581411	0.0643502
0.28	0.0653166	0.0724279
0.3	0.0727478	0.0808076
0.32	0.0804139	0.0894655
0.34	0.0882949	0.0983787
0.36	0.0963722	0.107526
0.38	0.104628	0.116886
0.4	0.113045	0.126439
0.42	0.121608	0.136168
0.44	0.130301	0.146054
0.46	0.139111	0.156079
0.48	0.148023	0.166229
0.5	0.157025	0.176488
0.52	0.166105	0.186841
0.54	0.175252	0.197275
0.56	0.184454	0.207777
0.58	0.193702	0.218334
0.6	0.202986	0.228934
0.62	0.212297	0.239567
0.64	0.221626	0.250223
0.66	0.230966	0.26089
0.68	0.240309	0.27156
0.7	0.249648	0.282224
0.72	0.258976	0.292874
0.74	0.268287	0.303502
0.76	0.277576	0.3141
0.78	0.286836	0.324662
0.8	0.296063	0.33518
0.82	0.305252	0.34565
0.84	0.314398	0.356064
0.86	0.323498	0.366419
0.88	0.332547	0.376708
0.9	0.341542	0.386927
0.92	0.350479	0.397072
0.94	0.359356	0.407139
0.96	0.368169	0.417123
0.98	0.376916	0.427022
1	0.385594	0.436832
1.02	0.394202	0.446551
1.04	0.402736	0.456175
1.06	0.411196	0.465702
1.08	0.419579	0.475129
1.1	0.427885	0.484455
1.12	0.436111	0.493679
1.14	0.444256	0.502797
1.16	0.45232	0.511809
1.18	0.460301	0.520713
1.2	0.468198	0.529508
1.22	0.476011	0.538193
1.24	0.483739	0.546768
1.26	0.491381	0.555231
1.28	0.498937	0.563582
1.3	0.506407	0.57182
1.32	0.51379	0.579946
1.34	0.521087	0.587958
1.36	0.528296	0.595857
1.38	0.535419	0.603643
1.4	0.542454	0.611316
1.42	0.549402	0.618875
1.44	0.556264	0.626322
1.46	0.56304	0.633656
1.48	0.569729	0.640878
1.5	0.576332	0.647987
1.52	0.582849	0.654986
1.54	0.589281	0.661874
1.56	0.595628	0.668652
1.58	0.601891	0.67532
1.6	0.60807	0.68188
1.62	0.614166	0.688332
1.64	0.620179	0.694677
1.66	0.62611	0.700916
1.68	0.631959	0.707049
1.7	0.637727	0.713078
1.72	0.643415	0.719004
1.74	0.649023	0.724827
1.76	0.654553	0.730549
1.78	0.660004	0.736171
1.8	0.665378	0.741693
1.82	0.670675	0.747117
1.84	0.675896	0.752444
1.86	0.681042	0.757675
1.88	0.686113	0.762811
1.9	0.69111	0.767854
1.92	0.696035	0.772804
1.94	0.700887	0.777664
1.96	0.705667	0.782433
1.98	0.710377	0.787113
2	0.715017	0.791706
2.02	0.719588	0.796213
2.04	0.724091	0.800634
2.06	0.728525	0.804972
2.08	0.732894	0.809226
2.1	0.737196	0.813399
2.12	0.741433	0.817492
2.14	0.745606	0.821505
2.16	0.749715	0.825441
2.18	0.753762	0.8293
2.2	0.757746	0.833083
2.22	0.76167	0.836792
2.24	0.765533	0.840428
2.26	0.769336	0.843992
2.28	0.773081	0.847484
2.3	0.776767	0.850908
2.32	0.780397	0.854262
2.34	0.78397	0.857549
2.36	0.787487	0.86077
2.38	0.790949	0.863926
2.4	0.794357	0.867017
2.42	0.797711	0.870046
2.44	0.801013	0.873013
2.46	0.804262	0.875919
2.48	0.807461	0.878765
2.5	0.810608	0.881552
2.52	0.813707	0.884282
2.54	0.816755	0.886955
2.56	0.819756	0.889573
2.58	0.822709	0.892135
2.6	0.825614	0.894645
2.62	0.828474	0.897101
2.64	0.831288	0.899506
2.66	0.834057	0.90186
2.68	0.836781	0.904164
2.7	0.839462	0.906419
2.72	0.8421	0.908626
2.74	0.844695	0.910787
2.76	0.847249	0.912901
2.78	0.849761	0.914969
2.8	0.852234	0.916993
2.82	0.854666	0.918974
2.84	0.857059	0.920912
2.86	0.859413	0.922807
2.88	0.861729	0.924662
2.9	0.864008	0.926476
2.92	0.866249	0.928251
2.94	0.868454	0.929987
2.96	0.870624	0.931685
2.98	0.872758	0.933346
3	0.874857	0.93497
3.02	0.876923	0.936559
3.04	0.878954	0.938112
3.06	0.880953	0.939631
3.08	0.882918	0.941116
3.1	0.884852	0.942568
3.12	0.886754	0.943988
3.14	0.888625	0.945377
3.16	0.890465	0.946734
3.18	0.892276	0.94806
3.2	0.894056	0.949357
3.22	0.895808	0.950625
3.24	0.89753	0.951864
3.26	0.899224	0.953075
3.28	0.900891	0.954259
3.3	0.90253	0.955416
3.32	0.904142	0.956546
3.34	0.905728	0.957651
3.36	0.907287	0.95873
3.38	0.908821	0.959785
3.4	0.91033	0.960816
3.42	0.911813	0.961823
3.44	0.913273	0.962807
3.46	0.914708	0.963768
3.48	0.916119	0.964707
3.5	0.917508	0.965624
3.52	0.918873	0.96652
3.54	0.920216	0.967395
3.56	0.921536	0.96825
3.58	0.922835	0.969085
3.6	0.924112	0.9699
3.62	0.925368	0.970697
3.64	0.926603	0.971474
3.66	0.927818	0.972234
3.68	0.929013	0.972975
3.7	0.930188	0.973699
3.72	0.931343	0.974406
3.74	0.932479	0.975097
3.76	0.933597	0.97577
3.78	0.934696	0.976428
3.8	0.935776	0.97707
3.82	0.936839	0.977697
3.84	0.937884	0.978309
3.86	0.938912	0.978906
3.88	0.939922	0.979489
3.9	0.940916	0.980058
3.92	0.941893	0.980614
3.94	0.942855	0.981156
