-0.3	-8	-8
-0.2	-8	-8
-0.1	-8	-8
0	-8	-8
0.1	-7.8	-7.8
0.2	-7.6	-7.6
0.3	-7.4	-7.4
0.4	-7.2	-7.2
0.5	-7	-7
0.6	-6.8	-6.8
0.7	-6.6	-6.6
0.8	-6.4	-6.4
0.9	-6.2	-6.2
1	-6	-6
1.1	-5.8	-5.8
1.2	-5.6	-5.6
1.3	-5.4	-5.4
1.4	-5.2	-5.2
1.5	-5	-5
1.6	-4.8	-4.8
1.7	-4.6	-4.6
1.8	-4.4	-4.4
1.9	-4.2	-4.2
2	-4	-4
2.1	-3.8	-3.8
2.2	-3.6	-3.6
2.3	-3.4	-3.4
2.4	-3.20001	-3.2
2.5	-3.00002	-3
2.6	-2.80005	-2.8
2.7	-2.60014	-2.60001
2.8	-2.40036	-2.40008
2.9	-2.20086	-2.20033
3	-2.00195	-2.00102
3.1	-1.80417	-1.80266
3.2	-1.60841	-1.60613
3.3	-1.41603	-1.41282
3.4	-1.22894	-1.22471
3.5	-1.04964	-1.04436
3.6	-0.881159	-0.874846
3.7	-0.726778	-0.719493
3.8	-0.589775	-0.581416
3.9	-0.472769	-0.463131
4	-0.37715	-0.365951
4.1	-0.302654	-0.289625
4.2	-0.246855	-0.231853
4.3	-0.204756	-0.188059
4.4	-0.16932	-0.151343
4.5	-0.13188	-0.113202
4.6	-0.0830795	-0.0638989
4.7	-0.0138857	0.00635215
4.8	0.0837655	0.105748
4.9	0.215695	0.24003
5	0.384691	0.411604
5.1	0.590159	0.619265
5.2	0.827889	0.858189
5.3	1.09028	1.12037
5.4	1.36712	1.39598
5.5	1.6471	1.67449
5.6	1.91901	1.94567
5.7	2.17361	2.20078
5.8	2.40471	2.43344
5.9	2.60964	2.64027
6	2.78931	2.82133
6.1	2.94796	2.97998
6.2	3.09209	3.12263
6.3	3.22933	3.25761
6.4	3.36755	3.39372
6.5	3.51405	3.53916
6.6	3.67479	3.7
6.7	3.85369	3.8798
6.8	4.05231	4.07936
6.9	4.26975	4.297
7	4.50282	4.52903
7.1	4.74644	4.77064
7.2	4.9947	5.01668
7.3	5.24179	5.26207
7.4	5.48283	5.50229
7.5	5.71453	5.73398
7.6	5.93531	5.95511
7.7	6.14523	6.16516
7.8	6.34563	6.36506
7.9	6.53893	6.55701
8	6.72771	6.74408
8.1	6.91465	6.92948
8.2	7.10229	7.11606
8.3	7.29268	7.30595
8.4	7.48718	7.50034
8.5	7.68638	7.69951
8.6	7.89009	7.90295
8.7	8.09741	8.10958
8.8	8.30688	8.31809
8.9	8.51685	8.52711
9	8.72576	8.73529
9.1	8.93239	8.9415
9.2	9.13597	9.14492
9.3	9.33622	9.34511
9.4	9.53325	9.54201
9.5	9.72754	9.73596
9.6	9.91969	9.92759
9.7	10.1104	10.1177
9.8	10.3003	10.3071
9.9	10.49	10.4965
